fips,county,lat,lon,ercot_zone,twdb_region,pop_2020,pop_2030,pop_2040,pop_2050,pop_growth_pct,water_2020_kaf,water_2030_kaf,water_2040_kaf,water_2050_kaf,water_growth_pct,elec_peak_2020_mw,elec_peak_2030_mw,elec_peak_2040_mw,elec_peak_2050_mw,elec_growth_pct,new_load_mw
48337,Montague,33.67,-97.72,NORTH,B,19818,20942,22130,23385,18.0,21.8,22.35,22.9,23.48,7.7,43.6,53.1,64.8,79.0,81.2,206.88
48339,Montgomery,30.3,-95.5,COAST,H,620443,710230,813010,930664,50.0,341.24,378.91,420.73,467.17,36.9,1489.1,1906.1,2440.0,3123.4,109.8,791.62
48341,Moore,35.84,-101.89,WEST,A,20940,22375,23908,25547,22.0,29.32,30.39,31.49,32.64,11.3,58.6,95.5,155.6,253.4,332.4,1020.2
48343,Morris,33.1,-94.73,EAST,D,12388,12941,13519,14122,14.0,7.68,7.78,7.89,7.99,4.0,28.5,34.1,40.7,48.7,70.9,251.3
48345,Motley,34.08,-100.79,WEST,B,1200,1282,1370,1464,22.0,1.32,1.37,1.42,1.47,11.4,3.4,5.5,8.9,14.5,326.5,226.3
48347,Nacogdoches,31.61,-94.65,EAST,D,65558,68485,71542,74736,14.0,40.65,41.19,41.73,42.29,4.0,150.8,180.2,215.4,257.5,70.8,981.02
48349,Navarro,32.04,-96.48,EAST,G,50114,52351,54688,57130,14.0,34.08,34.53,34.99,35.46,4.0,115.3,137.8,164.7,196.8,70.7,400.0
48351,Newton,30.78,-93.74,EAST,I,13595,14202,14836,15498,14.0,9.79,9.92,10.05,10.18,4.0,31.3,37.4,44.7,53.4,70.6,0
48353,Nolan,32.3,-100.41,WEST,F,14688,15695,16770,17919,22.0,26.44,27.4,28.4,29.44,11.3,41.1,67.0,109.1,177.7,332.4,372.1
48355,Nueces,27.72,-97.4,SOUTH,N,343223,382123,425431,473648,38.0,308.9,333.59,360.26,389.06,26.0,617.8,830.3,1115.8,1499.6,142.7,1300.39
48357,Ochiltree,36.28,-100.82,WEST,A,9836,10510,11230,12000,22.0,13.77,14.27,14.79,15.33,11.3,27.5,44.9,73.1,119.0,332.7,1286.68
48359,Oldham,35.4,-102.6,WEST,A,2072,2214,2366,2528,22.0,2.9,3.01,3.12,3.23,11.4,5.8,9.5,15.4,25.1,332.8,813.95
48361,Orange,30.1,-93.89,EAST,I,83396,87119,91008,95071,14.0,60.05,60.84,61.65,62.47,4.0,191.8,229.3,274.0,327.6,70.8,6474.82
48363,Palo Pinto,32.75,-98.31,NORTH,G,29189,30845,32594,34443,18.0,19.85,20.35,20.85,21.38,7.7,64.2,78.3,95.4,116.3,81.2,330.21
48365,Panola,31.98,-94.31,EAST,D,23440,24486,25580,26722,14.0,14.53,14.73,14.92,15.12,4.1,53.9,64.4,77.0,92.1,70.9,2108.0
48367,Parker,32.78,-97.8,NCENT,C,147195,171440,199678,232568,58.0,66.24,74.83,84.54,95.52,44.2,309.1,436.0,615.1,867.6,180.7,2270.35
48369,Parmer,34.53,-102.78,WEST,O,9605,10263,10967,11718,22.0,14.41,14.93,15.48,16.04,11.3,26.9,43.8,71.4,116.2,332.0,585.23
